name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pedobacter cryoconitis	188932	S	24	3	27	0.00255
Panacibacter ginsenosidivorans	1813871	S	20	4	24	0.00227
Ferruginibacter lapsinanis	563172	S	12	3	15	0.00142
Pseudobacter ginsenosidimutans	661488	S	10	6	16	0.00151
Limnoglobus roseus	2598579	S	15	1	16	0.00151
Frigoriglobus tundricola	2774151	S	14	3	17	0.00160
Aquisphaera giovannonii	406548	S	13	6	19	0.00179
Singulisphaera acidiphila	466153	S	12	6	18	0.00170
Opitutus sp. GAS368	1882749	S	13	3	16	0.00151
Lacunisphaera limnophila	1838286	S	14	3	17	0.00160
Sorangium cellulosum	56	S	22	11	33	0.00311
Sandaracinus amylolyticus	927083	S	13	0	13	0.00123
Nannocystis sp. fl3	2995304	S	14	1	15	0.00142
Arcobacter venerupis	1054033	S	16	7	23	0.00217
Aliarcobacter cryaerophilus	28198	S	14	8	22	0.00208
Bacteriovorax stolpii	960	S	10	0	10	0.00094
Homo sapiens	9606	S	541	28	569	0.05371
Malassezia restricta	76775	S	14	3	17	0.00160
Vhmlvirus VP585	1922213	S	24	23	47	0.00444
Vhmlvirus mar	1922211	S	11	13	24	0.00227
