NC_018464.1 Shamonda virus N and NSs genes, segment S, genomic RNA, isolate Ib An 5550
NC_022095.1 Human papillomavirus type 179 complete genome, isolate SIBX16
NC_041993.1 Mycobacterium phage Sebata, complete genome
NC_023696.1 Mycobacterium phage Dandelion, complete genome
NC_023714.1 Mycobacterium phage LinStu, complete genome
NC_023737.1 Mycobacterium phage Pleione, complete genome
NC_023733.1 Mycobacterium phage MoMoMixon, complete genome
NC_023725.1 Mycobacterium phage Nappy, complete genome
NC_027925.1 Apis mellifera filamentous virus isolate CH-CO5, partial genome
NC_019530.1 Salmonella phage PhiSH19, complete genome
NC_017981.1 Xanthomonas phage vB_XveM_DIBBI, complete genome
NC_019529.1 Vibrio phage pVp-1, complete genome
NC_019540.1 Salinivibrio phage CW02, complete genome
NC_017974.1 Cronobacter phage CR3, complete genome
NC_021772.1 Salmonella phage FSL SP-058, complete genome
NC_021782.1 Salmonella phage FSL SP-076, complete genome
NC_028931.1 Pseudomonas phage PaMx28, partial genome
NC_028809.1 Pseudomonas phage PaMx74, partial genome
NC_019507.1 Campylobacter phage CP21, complete genome
NC_019543.1 Aeromonas phage Aes508, complete genome
NC_025446.1 Escherichia phage ECML-4, complete genome
NC_042061.1 Salmonella phage STML-13-1, partial genome
NC_029000.1 Stenotrophomonas phage IME13, complete genome
NC_019406.1 Caulobacter phage CcrColossus, complete genome
NC_019410.1 Caulobacter phage CcrKarma, complete genome
NC_019407.1 Caulobacter phage CcrMagneto, complete genome
NC_020082.1 Edwardsiella phage MSW-3 DNA, complete genome
NC_021563.1 Serratia phage Eta, complete genome
NC_021249.1 Choristoneura rosaceana entomopoxvirus 'L', complete genome
NC_041934.1 Pseudomonas phage LKO4, complete genome
NC_021349.1 Mycobacterium phage Astraea, complete genome
NC_024354.1 Cronobacter phage CR8, complete genome
NC_021346.1 Mycobacterium phage Gizmo, complete genome
NC_021348.1 Mycobacterium phage ArcherS7, complete genome
NC_021556.1 Mycobacterium phage Leo, complete genome
NC_021806.1 Cellulophaga phage phi14:2, complete genome
NC_029044.1 Mycobacterium phage Breeniome, complete genome
NC_021858.1 Pandoravirus dulcis, complete genome
NC_022098.1 Pandoravirus salinus, complete genome
NC_022331.2 Mycobacterium phage Bane1, complete genome
NC_024139.1 Escherichia phage vB_EcoS_FFH1, complete genome
NC_023859.1 Microbacterium phage vB_MoxS-ISF9, complete genome
NC_025436.1 Shewanella sp. phage 1/4, complete genome
NC_025470.1 Shewanella sp. phage 1/40, complete genome
NC_027366.1 Bacillus phage Mater, complete genome
NC_027374.1 Bacillus phage Moonbeam, complete genome
NC_027297.1 Salmonella phage Stitch, complete genome
NC_027356.1 Enterobacteria phage DT57C, complete genome
NC_047749.1 Enterobacteria phage DT571/2, complete genome
NC_028812.1 Proteus phage pPM_01, complete genome
NC_028754.1 Salmonella phage Shivani, complete genome
NC_048638.1 Pseudomonas phage ZC03, complete genome
NC_028818.1 Streptomyces phage TP1604, complete genome
NC_029061.1 Rhodoferax phage P26218, complete genome
NC_031042.1 Salmonella phage NR01, complete genome
NC_048785.1 Salmonella phage SE24, complete genome
NC_047754.1 Escherichia phage APCEc03, complete genome
NC_047757.1 Caulobacter phage Seuss, complete genome
NC_027867.1 Mollivirus sibericum isolate P1084-T, complete genome
NC_028672.1 Cronobacter phage PBES 02, complete genome
NC_047758.1 Pectobacterium phage PPWS1 DNA, complete genome
NC_028968.1 Mycobacterium phage BrownCNA, complete genome
NC_028869.1 Mycobacterium phage HyRo, complete genome
NC_028840.1 Escherichia phage slur09 genome assembly slu09, chromosome : 1
NC_028651.1 Hydrogenobaculum phage 1 strain HP1, complete genome
NC_041872.1 Flavobacterium phage FpV4, complete genome
NC_030928.1 Xanthomonas phage f20-Xaj, complete genome
NC_030937.1 Xanthomonas phage f30-Xaj, complete genome
NC_031914.1 Flavobacterium phage Fpv1, complete genome
NC_031933.1 Salmonella phage 118970_sal2, complete genome
NC_031902.1 Salmonella phage 100268_sal2, complete genome
NC_031931.1 Flavobacterium phage Fpv2, complete genome
NC_031912.1 Flavobacterium phage Fpv20, complete genome
NC_031904.1 Flavobacterium phage Fpv3, complete genome
NC_031022.1 Shigella phage SHSML-45, complete genome
NC_047770.1 Escherichia phage ESCO13, complete genome
NC_031010.1 Erwinia phage vB_EamM_Kwan, complete genome
NC_031080.1 Mycobacterium phage Tonenili, complete genome
NC_047776.1 Escherichia phage ESCO5, complete genome
NC_041889.1 Streptomyces phage Rima, complete genome
NC_041899.1 Klebsiella phage vB_Kpn_IME260, complete genome
NC_041901.1 Mycobacterium phage Lukilu, complete genome
NC_048650.1 Streptomyces phage BRock, complete genome
NC_047859.1 Salmonella phage SP01, complete genome
NC_041917.1 Serratia phage BF, complete genome
NC_041921.1 Dinoroseobacter phage vB_DshS-R5C, complete genome
NC_047822.1 Escherichia phage phiLLS, complete genome
NC_049807.1 Lactococcus phage AM6, complete genome
NC_048660.1 Aeromonas phage phiA8-29, complete genome
NC_010811.2 Ralstonia phage RSL1, complete genome
NC_047880.1 Erwinia phage vB_EamM_Y3, complete genome
NC_015296.1 Salmonella phage Vi01, complete genome
NC_041994.1 Pseudomonas phage Noxifer, complete genome
NC_041997.1 Acidovorax phage ACP17, complete genome
NC_047835.1 Escherichia phage OSYSP, complete genome
NC_042016.1 Streptomyces phage DrGrey, complete genome
NC_047884.1 Bacteriophage T5-like saus132, complete genome
NC_047885.1 Bacteriophage T5-like chee24, complete genome
NC_049396.1 Salmonella phage SP1, partial genome
NC_047999.1 Salmonella phage SH9, partial genome
NC_042019.1 Aeromonas phage AS-gz, complete genome
NC_042040.1 Rhodococcus phage Trina, complete genome
NC_048000.1 Salmonella phage LVR16A, partial genome
NC_048677.1 Lactobacillus phage LpeD, complete genome
NC_047887.1 Pectobacterium phage DU_PP_V, complete genome
NC_047888.1 Ralstonia phage DU_RP_I, complete genome
NC_042085.1 Corynebacterium phage C3PO, complete genome
NC_042086.1 Corynebacterium phage Darwin, complete genome
NC_042087.1 Corynebacterium phage Zion, complete genome
NC_042090.1 Proteus phage PM135, complete genome
NC_042093.1 Klebsiella phage Sugarland, complete genome
NC_048001.1 Salmonella phage SP3, partial genome
NC_048685.1 Streptomyces phage Manuel, complete genome
NC_048686.1 Streptomyces phage Immanuel3, complete genome
NC_047900.1 Klebsiella phage May, complete genome
NC_047901.1 Klebsiella phage Menlow, complete genome
NC_048134.1 Lactobacillus phage Lpa804, complete genome
NC_049433.1 Escherichia phage EP75, complete genome
NC_048207.1 Gordonia phage SteveFrench, complete genome
NC_042105.1 Streptomyces phage BillNye, complete genome
NC_042109.1 Microbacterium phage Eleri, complete genome
NC_042110.1 Microbacterium phage Hamlet, complete genome
NC_042111.1 Microbacterium phage Ilzat, complete genome
NC_048703.1 Xanthomonas phage RiverRider, complete genome
NC_022343.1 Klebsiella virus 0507KN21 DNA, complete genome
NC_047979.1 Escherichia phage Gostya9, complete genome
NC_049929.1 Microbacterium phage Teagan, complete genome
NC_048706.1 Streptomyces phage FlowerPower, complete genome
NC_048627.1 Escherichia phage SP15 DNA, complete genome
NC_047995.1 Erwinia phage vB_EamM_Alexandra, complete genome
NC_048005.1 Salmonella phage S113, complete genome
NC_048006.1 Salmonella phage S114, complete genome
NC_048007.1 Salmonella phage S116, complete genome
NC_049437.1 Salmonella phage S118, complete genome
NC_048013.1 Salmonella phage S124, complete genome
NC_048008.1 Salmonella phage S126, complete genome
NC_048009.1 Salmonella phage S131, complete genome
NC_048010.1 Salmonella phage S132, complete genome
NC_048011.1 Salmonella phage S133, complete genome
NC_048012.1 Salmonella phage S147, complete genome
NC_048016.1 Erwinia phage Wellington, complete genome
NC_048052.1 Dickeya phage vB_DsoP_JA10, complete genome
NC_048045.1 Caulobacter phage CcrBL10, complete genome
NC_048047.1 Caulobacter phage CcrBL9, complete genome
NC_048046.1 Caulobacter phage CcrPW, complete genome
NC_049440.1 Salmonella phage SenALZ1, complete genome
NC_049439.1 Salmonella phage SenASZ3, complete genome
NC_049977.1 Bacteroides phage crAss001, complete genome
NC_048080.1 Acinetobacter phage vB_AbaM_B09_Aci05, complete genome
NC_048074.1 Acinetobacter phage vB_AbaM_B09_Aci01-1, complete genome
NC_048075.1 Acinetobacter phage vB_AbaM_B09_Aci02-2, complete genome
NC_048086.1 Proteus phage Stubb, complete genome
NC_048731.1 Escherichia phage fp01, complete genome
NC_048733.1 Microbacterium phage Burro, complete genome
NC_048062.1 Salmonella phage Sw2, complete genome
NC_048077.1 Dickeya phage vB_DsoM_JA11, complete genome
NC_049444.1 Klebsiella phage Pylas, complete genome
NC_048203.1 Escherichia virus vB_Eco_mar003J3 genome assembly, chromosome: 1
NC_048205.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1
NC_048736.1 Serratia phage vB_SmaA_3M, complete genome
NC_048089.1 Salmonella phage STG2, complete genome
NC_048110.1 Salmonella phage Seafire, complete genome
NC_048144.1 Microbacterium phage Schubert, complete genome
NC_048149.1 Salmonella phage 1-23, complete genome
NC_048145.1 Salmonella phage 3-29, complete genome
NC_048748.1 Escherichia phage vB_EcoS_HdH2, complete genome
NC_048186.1 Escherichia phage vB_EcoM_KWBSE43-6, complete genome
NC_048752.1 Lactobacillus phage 521B, complete genome
NC_049850.1 Burkholderia phage BcepSaruman, complete genome
NC_049851.1 Burkholderia phage BcepSauron, complete genome
NC_049455.1 Shigella phage MK-13, complete genome
NC_048755.1 Stenotrophomonas phage YB07, complete genome
NC_048760.1 Salmonella phage Sepoy, complete genome
NC_048189.1 Rheinheimera phage vB_RspM_Barba18A, complete genome
NC_048190.1 Rheinheimera phage vB_RspM_Barba19A, complete genome
NC_048191.1 Rheinheimera phage vB_RspM_Barba21A, complete genome
NC_048187.1 Rheinheimera phage vB_RspM_Barba5S, complete genome
NC_048188.1 Rheinheimera phage vB_RspM_Barba8S, complete genome
NC_042094.1 Vibrio phage Ceto, complete genome
NC_042095.1 Vibrio phage Thalassa, complete genome
NC_048766.1 Pantoea phage vB_PagM_AAM37, complete genome
NC_048767.1 Pantoea phage vB_PagM_PSKM, complete genome
NC_048773.1 Aeromonas phage 4_4572, complete genome
NC_048795.1 Salmonella phage Th1, complete genome
NC_049462.1 Klebsiella phage Magnus, complete genome
NC_049928.1 Microbacterium phage MonChoix, complete genome
NC_048781.1 Salmonella phage vB_SenS_SB13, complete genome
NC_049849.1 Achromobacter phage Motura, complete genome
NC_048794.1 Salmonella virus VSe12, complete genome
NC_048786.1 Salmonella phage SE11, complete genome
NC_049512.1 Salmonella phage SE14, complete genome
NC_048808.1 Salmonella phage OSY-STA, partial genome
NC_049467.1 Klebsiella phage KpCHEMY26, complete genome
NC_048811.1 Salmonella phage 1-29, complete genome
NC_048802.1 Stenotrophomonas phage Moby, complete genome
NC_048809.1 Salmonella phage 2-3, complete genome
NC_048818.1 Escherichia virus VEc33, complete genome
NC_048804.1 Stenotrophomonas phage Mendera, complete genome
NC_048819.1 Salmonella phage 1-19, complete genome
NC_049472.1 Klebsiella virus UPM 2146, complete genome
NC_017969.1 Escherichia phage vB_EcoS_AKFV33, complete genome
NC_049950.1 Escherichia virus Lambda_2H10 genome assembly, chromosome: 1
NC_048831.1 Flavobacterium phage vB_FspS_filifjonk9-1, complete genome
NC_048833.1 Flavobacterium phage vB_FspS_hemulen6-1, complete genome
NC_048837.1 Flavobacterium phage vB_FspS_mumin9-1, complete genome
NC_048838.1 Flavobacterium phage vB_FspS_mymlan6-1, complete genome
NC_048842.1 Flavobacterium phage vB_FspS_stinky9-1, complete genome
NC_048844.1 Flavobacterium phage vB_FspS_tooticki6-1, complete genome
NC_048664.1 Cronobacter phage vB_CsaP_009 DNA, complete genome
NC_048861.1 Proteus phage Privateer, complete genome
NC_048853.1 Phage NBEco001, complete genome
NC_048855.1 Phage NBEco002, complete genome
NC_048856.1 Phage NBSal003, complete genome
NC_048857.1 Phage NBSal005, complete genome
NC_048852.1 Salmonella phage L6jm, complete genome
NC_048862.1 Salmonella phage astrithr, complete genome
NC_048872.1 Salmonella phage atrejo, complete genome
NC_048870.1 Salmonella phage bastian, complete genome
NC_049502.1 Salmonella phage bering, complete genome
NC_048866.1 Salmonella phage bombadil, complete genome
NC_049504.1 Salmonella phage dinky, complete genome
NC_048867.1 Salmonella phage faergetype, complete genome
NC_048869.1 Salmonella phage fuchur, complete genome
NC_048865.1 Salmonella phage oldekolle, complete genome
NC_048871.1 Salmonella phage oselot, complete genome
NC_048868.1 Salmonella phage rokbiter, complete genome
NC_052654.1 Escherichia phage vB_EcoM-Ro121c4YLVW, complete genome
NC_052983.1 Escherichia phage E21, complete genome
NC_053512.1 Mycobacterium phage Kumao, complete genome
NC_054442.1 Mycobacterium phage Grizzly, complete genome
NC_054441.1 Mycobacterium phage Rabbs, complete genome
NC_054715.1 Mycobacterium phage Bigswole, complete genome
NC_054716.1 Mycobacterium phage Cane17, complete genome
NC_054717.1 Mycobacterium phage CharlieB, complete genome
NC_054722.1 Mycobacterium phage Sauce, complete genome
NC_054720.1 Mycobacterium phage QBert, complete genome
NC_054719.1 Mycobacterium phage NoodleTree, complete genome
NC_054718.1 Mycobacterium phage Mangeria, complete genome
NC_054721.1 Mycobacterium phage Quasimodo, complete genome
NC_054725.1 Gordonia phage Skog, complete genome
NC_055235.1 Baboon cytomegalovirus OCOM4-37, complete genome, *** SEQUENCING IN PROGRESS ***, 22 unordered pieces
NC_055166.1 Beluga whale alphaherpesvirus 1 strain LN3131-1, complete genome
NC_054952.1 Stenotrophomonas phage IME-SM1, complete genome
NC_055142.1 Lymphocryptovirus Macaca/pfe-lcl-E3, complete genome
NC_055061.1 Rhodococcus phage Toil, complete genome
NC_055746.1 Aeromonas phage 50AhydR13PP, complete genome
NC_055747.1 Aeromonas phage 60AhydR15PP, complete genome
NC_055774.1 Gordonia phage Bibwit, complete genome
NC_055772.1 Corynebacterium phage Kimchi1738, complete genome
NC_055794.1 Vibrio phage Achelous, complete genome
NC_055807.1 Corynebacterium phage Stickynote, complete genome
NC_055801.1 Vibrio phage Pontus, complete genome
NC_055800.1 Vibrio phage Brizo, complete genome
NC_055819.1 Gordonia phage Keitabear, complete genome
NC_055823.1 Acinetobacter phage VB_ApiP_XC38, complete genome
NC_055832.1 Bacteroides phage DAC15, complete genome
NC_055830.1 Vibrio phage Chester, complete genome
NC_055840.1 Agrobacterium phage OLIVR1, complete genome
NC_055829.1 Vibrio phage Bennett, complete genome
NC_055848.1 Vibrio phage AG74, complete genome
NC_055851.1 Vibrio phage Athena, complete genome
NC_055849.1 Vibrio phage Cody, complete genome
NC_055850.1 Vibrio phage Quinn, complete genome
NC_055847.1 Vibrio phage River4, complete genome
NC_055852.1 Flavobacterium phage vB_FspP_elemoA_7-9A, complete genome
NC_055855.1 Flavobacterium phage vB_Fsp_elemo13-5B, partial genome
NC_055853.1 Flavobacterium phage vB_Fsp_elemo6-3D, partial genome
NC_055854.1 Flavobacterium phage vB_Fsp_elemo6-9C, partial genome
NC_054956.1 Ralstonia phage Cimandef, complete genome
NC_055860.1 Mycobacterium phage Heath, complete genome
NC_055868.1 CrAssphage cr50_1, complete genome
NC_055869.1 CrAssphage cr55_1, complete genome
NC_055873.1 CrAssphage cr1_1, complete genome
NC_055875.1 CrAssphage cr10_1, complete genome
NC_055881.1 CrAssphage cr112_1, complete genome
NC_055882.1 CrAssphage cr116_1, complete genome
NC_055889.1 CrAssphage cr53_1, complete genome
NC_055895.1 CrAssphage cr7_1, complete genome
NC_055899.1 CrAssphage cr124_1, complete genome
NC_055902.1 CrAssphage cr131_1, complete genome
NC_055903.1 CrAssphage cr272_1, complete genome
NC_055904.1 CrAssphage cr273_1, complete genome
NC_055915.1 Flavobacterium phage vB_FspM_immuto_2-6A, complete genome
NC_055913.1 Vibrio phage Gary, complete genome
NC_055921.1 Salmonella phage vB_SalP_TR2, complete genome
NC_048048.2 Caulobacter phage CcrSC, complete genome
NC_016991.1 White-eye coronavirus HKU16, complete genome
NC_035191.1 Wencheng Sm shrew coronavirus isolate Xingguo-101 ORF1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds
NC_021529.2 Vibrio phage nt-1, complete genome
NC_042037.1 Aeromonas phage pIS4-A genomic sequence
NC_021534.1 Vibrio phage pYD38-A genomic sequence
NC_042029.1 Edwardsiella phage eiAU, complete genome
NC_018860.1 Bacillus phage BCP78, complete genome
NC_022096.1 Pseudomonas phage PaBG, complete genome
NC_022776.1 Streptococcus phage TP-778L complete genome
NC_023555.1 Edwardsiella phage eiAU-183, complete genome
NC_028763.1 Polaribacter phage P12002S, complete genome
NC_004462.2 Thermus thermophilus phage IN93, complete genome
NC_031932.1 Flavobacterium phage Fpv10, complete genome
NC_031945.1 Flavobacterium phage Fpv11, complete genome
NC_030230.1 Tokyovirus A1 DNA, nearly complete genome
NC_047856.1 Enterobacter phage KNP3, complete genome
NC_047798.1 Klebsiella phage K5-2, complete genome
NC_047799.1 Klebsiella phage K5-4, complete genome
NC_055716.1 Yersinia phage fHe-Yen9-01, complete genome
NC_054957.1 Ralstonia phage Eline, complete genome
NC_054960.1 Ralstonia phage Heva, complete genome
NC_055877.1 CrAssphage cr8_1, complete genome
NC_005856.1 Enterobacteria phage P1, complete genome
NC_001609.1 Enterobacteria phage P4, complete genome
NC_050152.1 Enterobacteria phage P7, complete genome
NC_001697.1 Haemophilus phage HP1, complete genome
NC_001416.1 Enterobacteria phage lambda, complete genome
NC_021190.1 Enterobacteria phage phi80, complete genome
NC_000924.1 Enterobacteria phage 933W, complete genome
NC_002166.1 Bacteriophage HK022, complete genome
NC_003298.1 Enterobacteria phage T3, complete genome
NC_047864.1 Enterobacteria phage T3, complete genome
NC_001604.1 Enterobacteria phage T7, complete genome
NC_005344.1 Enterobacteria phage Sf6, complete genome
NC_007581.1 Clostridium phage c-st, complete genome
NC_005294.1 Streptococcus prophage EJ-1, complete genome
NC_001900.2 Mycobacterium virus D29, complete genome
NC_002484.2 Bacteriophage D3, complete genome
NC_001335.1 Mycobacterium phage L5 complete genome
NC_028700.1 Streptococcus phage T12, complete genome
NC_002167.1 Enterobacteria phage HK97, complete genome
NC_011534.1 Kluyvera phage Kvp1, complete genome
NC_004112.1 Lactobacillus phage A2, complete genome
NC_007021.1 Staphylococcus phage Twort, complete genome
NC_003444.1 Enterobacteria phage SfV, complete genome
NC_007050.1 Staphylococcus phage 85, complete genome
NC_000872.1 Streptococcus phage Sfi21, complete genome
NC_021857.1 Shigella phage SfII, complete genome
NC_000871.1 Streptococcus phage Sfi19, complete genome
NC_020197.1 Streptococcus phage TP-J34 complete genome
NC_002214.1 Streptococcus thermophilus bacteriophage Sfi11, complete genome
NC_004303.1 Streptococcus phage O1205, complete genome
NC_002072.2 Streptococcus phage DT1, complete genome
NC_000902.1 Enterobacteria phage VT2-Sakai, complete genome
NC_006949.1 Enterobacteria phage ES18, complete genome
NC_001271.1 Yersinia phage phiYeO3-12, complete genome
NC_002185.1 Streptococcus phage 7201, complete genome
NC_003050.2 Streptococcus pneumoniae bacteriophage MM1 complete genome
NC_005355.1 Lactobacillus prophage Lj965, complete genome
NC_005354.1 Lactobacillus prophage Lj928, complete genome
NC_007501.1 Lactobacillus phage Lc-Nu, complete genome
NC_002669.1 Lactococcus prophage bIL310, complete genome
NC_002730.1 Enterobacteria phage HK620, complete genome
NC_003315.1 Haemophilus phage HP2, complete genome
NC_004996.1 Streptococcus phage SM1, complete genome
NC_004629.1 Pseudomonas phage phiKZ, complete genome
NC_004348.1 Enterobacteria phage ST64T, complete genome
NC_004313.1 Salmonella phage ST64B, complete genome
NC_003309.1 Burkholderia phage phiE125, complete genome
NC_004466.2 Pseudomonas aeruginosa phage PaP3, complete genome
NC_004913.3 Stx1 converting phage DNA, complete genome
NC_004914.3 Stx2 converting phage II DNA, complete genome
NC_004813.1 Enterobacteria phage BP-4795, complete genome
NC_004456.1 Vibrio phage VHML, complete genome
NC_004775.2 Enterobacteria phage epsilon15, complete genome
NC_005841.1 Enterobacteria phage ST104 DNA, complete genome
NC_004777.1 Yersinia pestis phage phiA1122, complete genome
NC_004827.1 Bacteriophage Aaphi23, complete genome
NC_006820.1 Synechococcus phage S-PM2, complete genome
NC_049943.1 Enterobacteria phage 2851, complete genome
NC_006883.2 Prochlorococcus phage P-SSM2, complete genome
NC_005887.1 Burkholderia phage BcepC6B, complete genome
NC_005893.1 Lactobacillus phage phiAT3, complete genome
NC_007019.1 Streptococcus phage 2972, complete genome
NC_007052.1 Staphylococcus phage 42e, complete genome
NC_011802.1 Salmonella enterica bacteriophage SE1, complete genome
NC_007145.2 Burkholderia prophage phi52237, complete genome
NC_042060.1 Pseudomonas phage PA7, partial genome
NC_011976.1 Salmonella phage epsilon34, complete genome
NC_007497.1 Burkholderia phage Bcep176, complete genome
NC_008203.1 Mycobacterium phage Che12, complete genome
NC_009541.1 Propionibacterium phage PA6, complete genome
NC_008464.1 Stx2-converting phage 86, complete genome
NC_020878.1 Prochlorococcus phage P-GSP1 genomic sequence
NC_008296.2 Synechococcus phage syn9, complete genome
NC_011041.1 Escherichia coli bacteriophage rv5, complete sequence
NC_008721.2 Streptococcus phage SMP, complete genome
NC_009514.1 Phage cdtI DNA, complete genome
NC_009234.1 Burkholderia phage phiE202 chromosome, complete genome
NC_019768.1 Enterobacteria phage HK106, complete genome
NC_019769.1 Enterobacteria phage HK542, complete genome
NC_019767.1 Enterobacteria phage HK544, complete genome
NC_015282.1 Synechococcus phage S-SM1, complete genome
NC_015279.1 Synechococcus phage S-SM2, complete genome
NC_015288.1 Prochlorococcus phage Syn1, complete genome
NC_015283.1 Prochlorococcus phage P-RSM4, complete genome
NC_015285.1 Prochlorococcus phage Syn33, complete genome
NC_015281.1 Synechococcus phage S-ShM2, complete genome
NC_015289.1 Synechococcus phage S-SSM5, complete genome
NC_015287.1 Synechococcus phage S-SSM7, complete genome
NC_015290.1 Prochlorococcus phage P-SSM7, complete genome
NC_015284.1 Prochlorococcus phage P-HM2, complete genome
NC_009603.1 Microbacterium phage Min1, complete genome
NC_042057.1 Enterobacteria phage DE3, complete genome
NC_010237.1 Enterobacteria phage Min27, complete genome
NC_011104.1 Lactobacillus phage Lrm1, complete genome
NC_015454.1 Propionibacterium phage PAD20 endogenous virus, complete genome
NC_015453.1 Propionibacterium phage PAS50 endogenous virus, complete genome
NC_010807.1 Salmonella phage phiSG-JL2, complete genome
NC_011040.1 Enterobacteria phage BA14, complete genome
NC_011045.1 Enterobacteria phage 13a, complete genome
NC_011043.1 Klebsiella phage K11, complete genome
NC_021071.1 Cyanophage P-RSM1 genomic sequence
NC_020875.1 Cyanophage S-SSM4 genomic sequence
NC_021072.1 Cyanophage Syn30 genomic sequence
NC_010945.1 Streptococcus phage PH15, complete genome
NC_011273.1 Mycobacterium phage Myrna, complete genome
NC_013085.1 Synechococcus phage S-RSM4, complete genome
